user_id,order_id,order_date,booking_date,order_status,dport,aport,dport_city,aport_city,dcity_code,acity_code,flight_time,flight_number,flight_date,flight_num_date
M145524532,D00000640,2022/1/15 13:46,2022/1/15 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M435605168,D00000321,2022/1/8 15:01,2022/1/8 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2711953310,D00000895,2022/1/21 13:32,2022/1/21 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M580352324,D00000261,2022/1/6 21:18,2022/1/6 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M153480578,D00000448,2022/1/11 12:17,2022/1/11 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M135732264,D00001079,2022/1/26 8:26,2022/1/26 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M509254558,D00000095,2022/1/3 11:02,2022/1/3 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3598194932,D00000027,2022/1/1 16:28,2022/1/1 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2812986273,D00001098,2022/1/26 15:14,2022/1/26 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3489010371,D00000799,2022/1/18 22:40,2022/1/18 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M325019820,D00000701,2022/1/16 21:45,2022/1/16 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M482664028,D00000222,2022/1/6 0:22,2022/1/6 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2613134103,D00000235,2022/1/6 13:47,2022/1/6 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3560719775,D00000260,2022/1/6 21:18,2022/1/6 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3924423425,D00000885,2022/1/20 23:06,2022/1/20 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3080586061,D00001000,2022/1/24 14:26,2022/1/24 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2435278549,D00000846,2022/1/20 10:01,2022/1/20 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M4987267906,D00001101,2022/1/26 18:04,2022/1/26 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2515021624,D00001057,2022/1/25 15:56,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M462190627,D00000900,2022/1/21 15:41,2022/1/21 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M196646682,D00000869,2022/1/20 18:23,2022/1/20 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2690061181,D00001066,2022/1/25 20:33,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M4005483372,D00001059,2022/1/25 17:07,2022/1/25 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M301908038,D00001087,2022/1/26 11:46,2022/1/26 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2698288116,D00000575,2022/1/14 11:26,2022/1/14 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M4628822476,D00001038,2022/1/25 11:15,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2568315588,D00000118,2022/1/3 19:15,2022/1/3 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M4271024872,D00001081,2022/1/26 10:54,2022/1/26 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3077761479,D00000240,2022/1/6 14:32,2022/1/6 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M525907090,D00000593,2022/1/14 15:43,2022/1/14 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M514267858,D00001080,2022/1/26 9:58,2022/1/26 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
